iter	RMSE
0	12293.94492
1	11370.05119
2	10517.78688
3	9702.193383
4	8906.510227
5	8193.113586
6	7575.332145
7	7043.556795
8	6539.283484
9	6097.597758
10	5733.495696
11	5408.348835
12	5106.519114
13	4805.940858
14	4524.99346
15	4278.891831
16	4041.740727
17	3849.684289
18	3656.778335
19	3524.8439
20	3388.061585
21	3300.738274
22	3208.187885
23	3135.280641
24	3033.732456
25	2964.554662
26	2887.382966
27	2818.414916
28	2756.169313
29	2719.618076
30	2683.358949
31	2634.065034
32	2584.343893
33	2543.647079
34	2510.109492
35	2484.399154
36	2459.623001
37	2438.44297
38	2406.629748
39	2386.476538
40	2351.681769
41	2321.316031
42	2294.068015
43	2268.379169
44	2247.631716
45	2231.168302
46	2206.790224
47	2193.931332
48	2185.151316
49	2148.462842
50	2128.511938
51	2115.342062
52	2093.068187
53	2079.491184
54	2071.708016
55	2046.558885
56	2029.676476
57	2020.031486
58	2012.965104
59	1997.351578
60	1983.184528
61	1973.50062
62	1964.235909
63	1961.516631
64	1951.63959
65	1944.309272
66	1936.30018
67	1929.665121
68	1924.634741
69	1919.018085
70	1894.382858
71	1865.447258
72	1840.338265
73	1829.065704
74	1815.498974
75	1810.019483
76	1790.733197
77	1768.837303
78	1762.400323
79	1756.478033
80	1752.3775
81	1747.920146
82	1729.05514
83	1721.539762
84	1705.199976
85	1699.919905
86	1676.739698
87	1671.653322
88	1667.548257
89	1645.632104
90	1634.670475
91	1630.093027
92	1618.112123
93	1614.071164
94	1610.258025
95	1594.99087
96	1585.790839
97	1573.451154
98	1553.477922
99	1542.044501
