iter	Passed	Remaining
0	1	385
1	3	366
2	5	350
3	6	333
4	8	329
5	10	336
6	12	336
7	13	335
8	15	331
9	17	328
10	18	326
11	20	318
12	21	316
13	23	313
14	25	311
15	27	313
16	29	312
17	30	311
18	32	309
19	34	307
20	35	305
21	37	304
22	39	302
23	40	300
24	42	298
25	44	297
26	45	293
27	47	290
28	48	288
29	50	285
30	51	283
31	53	280
32	54	278
33	56	276
34	58	275
35	59	273
36	61	270
37	62	268
38	64	265
39	65	263
40	67	261
41	69	259
42	70	257
43	72	256
44	74	254
45	75	252
46	76	250
47	78	248
48	79	246
49	81	243
50	82	241
51	84	239
52	85	237
53	87	236
54	89	234
55	90	233
56	92	232
57	94	230
58	95	228
59	96	226
60	98	224
61	100	222
62	101	221
63	103	219
64	105	218
65	106	216
66	108	214
67	109	213
68	111	211
69	113	210
70	114	208
71	116	207
72	118	205
73	119	204
74	121	202
75	123	201
76	124	198
77	126	197
78	127	194
79	129	193
80	131	192
81	132	191
82	134	189
83	136	188
84	138	187
85	140	185
86	141	183
87	142	181
88	143	178
89	144	176
90	145	174
91	146	171
92	147	169
93	147	166
94	148	164
95	150	163
96	151	161
97	152	159
98	153	157
99	154	154
100	156	152
101	157	150
102	158	148
103	159	146
104	160	144
105	161	142
106	162	140
107	163	138
108	164	137
109	165	135
110	167	134
111	168	132
112	169	130
113	170	128
114	171	126
115	172	125
116	173	123
117	175	121
118	176	119
119	177	118
120	178	116
121	179	114
122	181	113
123	183	112
124	184	110
125	185	108
126	186	107
127	187	105
128	188	103
129	189	102
130	190	100
131	191	98
132	192	96
133	193	95
134	194	93
135	195	92
136	197	90
137	199	89
138	200	88
139	202	86
140	203	85
141	204	83
142	205	81
143	206	80
144	207	78
145	208	77
146	209	75
147	210	73
148	211	72
149	212	70
150	214	69
151	215	67
152	216	66
153	217	64
154	218	63
155	219	61
156	220	60
157	221	58
158	222	57
159	223	55
160	224	54
161	225	52
162	226	51
163	227	49
164	229	48
165	230	47
166	231	45
167	232	44
168	233	42
169	234	41
170	236	40
171	237	38
172	239	37
173	241	36
174	242	34
175	244	33
176	246	31
177	247	30
178	249	29
179	250	27
180	252	26
181	253	25
182	255	23
183	256	22
184	257	20
185	258	19
186	260	18
187	261	16
188	262	15
189	264	13
190	265	12
191	266	11
192	266	9
193	268	8
194	269	6
195	270	5
196	271	4
197	272	2
198	273	1
199	274	0
